UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRU,EFGNDRUN,XEFGNDRA,EFGNDRAN,XEFGNDRU,EFGNDRUA,XEFGNDRK,EFGNDRKN
459985,20,99,3,1,R,389,R,192,R,197,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,226,R,106,R,120,Z,0,Z,0,Z,0,R,150,R,82,R,68,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985,21,14,1,4,R,508,R,260,R,248,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,281,R,141,R,140,Z,0,Z,0,Z,0,R,214,R,115,R,99,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985,22, 8,1,1,R,508,R,260,R,248,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,281,R,141,R,140,Z,0,Z,0,Z,0,R,214,R,115,R,99,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985,23, 6,1,1,R,508,R,260,R,248,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,281,R,141,R,140,Z,0,Z,0,Z,0,R,214,R,115,R,99,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985,24, 1,1,1,R,119,R,68,R,51,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,55,R,35,R,20,Z,0,Z,0,Z,0,R,64,R,33,R,31,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985,25,99,1,1,R,389,R,192,R,197,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,226,R,106,R,120,Z,0,Z,0,Z,0,R,150,R,82,R,68,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459985,40, 3,1,1,R,389,R,192,R,197,R,1,Z,0,R,1,R,1,Z,0,R,1,R,8,R,3,R,5,R,226,R,106,R,120,Z,0,Z,0,Z,0,R,150,R,82,R,68,R,2,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459994, 1,29,3,4,R,11017,R,3805,R,7212,R,86,R,26,R,60,R,341,R,209,R,132,R,3585,R,965,R,2620,R,1318,R,538,R,780,R,45,R,9,R,36,R,4912,R,1784,R,3128,R,500,R,151,R,349,R,224,R,120,R,104,R,6,R,3,R,3,R,318,A,,R,318,R,10699
459994, 2,99,3,1,R,8368,R,2654,R,5714,R,76,R,22,R,54,R,101,R,49,R,52,R,2594,R,675,R,1919,R,1094,R,431,R,663,R,36,R,5,R,31,R,3930,R,1296,R,2634,R,387,R,108,R,279,R,147,R,67,R,80,R,3,R,1,R,2,R,285,A,,R,285,R,8083
459994, 3,99,3,1,R,8358,R,2652,R,5706,R,76,R,22,R,54,R,101,R,49,R,52,R,2593,R,675,R,1918,R,1093,R,431,R,662,R,36,R,5,R,31,R,3927,R,1296,R,2631,R,387,R,108,R,279,R,142,R,65,R,77,R,3,R,1,R,2,A,,A,,A,,A,
