UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
174376, 1,"R",5173,"R",2726,"R",1534,"R",913,"R",2671,"R",53,"R",0,"R",0,"R",2
174376, 2,"R",5173,"R",2726,"R",1534,"R",913,"R",2671,"R",53,"R",0,"R",0,"R",2
174376, 3,"R",3565,"R",1830,"R",1253,"R",482,"R",1792,"R",37,"R",0,"R",0,"R",1
174376,11,"R",1608,"R",896,"R",281,"R",431,"R",879,"R",16,"R",0,"R",0,"R",1
174428, 1,"R",8842,"R",4288,"R",2840,"R",1714,"R",4202,"R",81,"R",0,"R",0,"R",5
174428, 2,"R",8842,"R",4288,"R",2840,"R",1714,"R",4202,"R",81,"R",0,"R",0,"R",5
174428, 3,"R",6157,"R",2982,"R",2300,"R",875,"R",2929,"R",50,"R",0,"R",0,"R",3
174428,11,"R",2685,"R",1306,"R",540,"R",839,"R",1273,"R",31,"R",0,"R",0,"R",2
174437, 1,"R",1034,"R",152,"R",497,"R",385,"R",55,"R",95,"R",2,"R",0,"R",0
174437, 2,"R",950,"R",87,"R",486,"R",377,"R",27,"R",60,"R",0,"R",0,"R",0
174437, 3,"R",868,"R",79,"R",467,"R",322,"R",19,"R",60,"R",0,"R",0,"R",0
174437,11,"R",82,"R",8,"R",19,"R",55,"R",8,"R",0,"R",0,"R",0,"R",0
174437,12,"R",84,"R",65,"R",11,"R",8,"R",28,"R",35,"R",2,"R",0,"R",0
174473, 1,"R",2716,"R",899,"R",491,"R",1326,"R",703,"R",195,"R",0,"R",0,"R",1
174473, 2,"R",2716,"R",899,"R",491,"R",1326,"R",703,"R",195,"R",0,"R",0,"R",1
174473, 3,"R",1732,"R",360,"R",392,"R",980,"R",185,"R",175,"R",0,"R",0,"R",0
174473,11,"R",984,"R",539,"R",99,"R",346,"R",518,"R",20,"R",0,"R",0,"R",1
174491, 1,"R",3398,"R",1302,"R",644,"R",1452,"R",1199,"R",100,"R",0,"R",3,"R",0
174491, 2,"R",3289,"R",1207,"R",635,"R",1447,"R",1134,"R",70,"R",0,"R",3,"R",0
174491, 3,"R",1599,"R",110,"R",385,"R",1104,"R",79,"R",30,"R",0,"R",1,"R",0
174491,11,"R",1690,"R",1097,"R",250,"R",343,"R",1055,"R",40,"R",0,"R",2,"R",0
174491,12,"R",109,"R",95,"R",9,"R",5,"R",65,"R",30,"R",0,"R",0,"R",0
174507, 1,"R",1126,"R",214,"R",799,"R",113,"R",168,"R",33,"R",0,"R",12,"R",1
174507, 2,"R",387,"R",96,"R",192,"R",99,"R",92,"R",4,"Z",0,"Z",0,"R",0
174507, 3,"R",249,"R",55,"R",129,"R",65,"R",53,"R",2,"Z",0,"Z",0,"R",0
174507,11,"R",138,"R",41,"R",63,"R",34,"R",39,"R",2,"Z",0,"Z",0,"R",0
174507,12,"R",739,"R",118,"R",607,"R",14,"R",76,"R",29,"R",0,"R",12,"R",1
174525, 1,"R",94,"R",6,"R",0,"R",88,"R",5,"R",1,"Z",0,"Z",0,"R",0
174525, 2,"R",94,"R",6,"R",0,"R",88,"R",5,"R",1,"Z",0,"Z",0,"R",0
174525, 3,"R",80,"R",6,"R",0,"R",74,"R",5,"R",1,"Z",0,"Z",0,"R",0
174525,11,"R",14,"R",0,"R",0,"R",14,"A",,"A",,"A",,"A",,"A",
174570, 1,"R",1766,"R",168,"R",263,"R",1335,"R",158,"R",10,"R",0,"R",0,"R",0
174570, 2,"R",1766,"R",168,"R",263,"R",1335,"R",158,"R",10,"R",0,"R",0,"R",0
174570, 3,"R",596,"R",124,"R",198,"R",274,"R",114,"R",10,"R",0,"R",0,"R",0
174570,11,"R",1170,"R",44,"R",65,"R",1061,"R",44,"R",0,"R",0,"R",0,"R",0
174604, 1,"R",179,"R",13,"R",71,"R",95,"R",10,"R",1,"R",0,"R",0,"R",2
174604, 2,"R",179,"R",13,"R",71,"R",95,"R",10,"R",1,"R",0,"R",0,"R",2
